Dataset,Frequency Level,Samples,Avg Freq,Acc@1,Acc@5,Acc@10,MRR,NDCG,F1,Loss
Geolife,Very Rare (≤P10),43,4.2,0.00,4.65,4.65,2.55,2.33,0.00,8.0657
Geolife,Rare (P10-P25),100,11.1,4.00,22.00,25.00,11.28,14.20,6.61,6.9620
Geolife,Occasional (P25-P50),88,20.8,1.14,6.82,6.82,3.91,4.07,1.14,7.9829
Geolife,Common (P50-P75),137,38.2,13.14,32.12,35.04,22.16,24.67,17.43,6.0225
Geolife,Frequent (P75-P90),96,76.2,10.42,33.33,37.50,20.59,23.42,14.75,5.7212
Geolife,Very Frequent (>P90),2234,5473.7,64.73,92.26,95.34,77.04,81.48,63.96,1.5149
Geolife,Unseen Location,804,0.0,51.12,83.71,88.06,64.44,70.13,67.37,2.6503
DIY,Very Rare (≤P10),176,9.4,3.98,18.18,22.73,9.75,12.78,4.81,9.2444
DIY,Rare (P10-P25),162,22.8,8.02,17.90,24.07,12.78,15.22,9.28,8.7300
DIY,Occasional (P25-P50),369,45.8,15.72,39.84,46.07,25.98,30.73,18.08,6.6989
DIY,Common (P50-P75),430,99.1,10.00,30.93,37.91,18.92,23.05,13.07,7.0110
DIY,Frequent (P75-P90),1068,337.6,22.57,54.96,64.79,36.47,42.79,25.87,4.5657
DIY,Very Frequent (>P90),9678,449384.1,67.06,91.91,94.85,78.06,82.12,66.10,1.4465
DIY,Unseen Location,485,0.0,37.32,71.34,76.08,50.98,57.09,54.32,4.1561
